Wavelength (nm),Power (W)
1549.0,3.27093588e-08
1549.0001,3.43000046e-08
1549.0002,4.43679333e-08
1549.0003,4.4471858e-07
1549.0004,1.95611028e-06
1549.0005,2.08237111e-06
1549.0006,2.1075241e-06
1549.0007,1.13473493e-06
1549.0008,1.07823348e-06
1549.0009,1.07042752e-06
1549.001,1.08653535e-06
1549.0011,1.0912438e-06
1549.0012,1.09285452e-06
1549.0013,1.09297844e-06
1549.0014,1.08864174e-06
1549.0015,1.09235884e-06
1549.0016,1.09000462e-06
1549.0017,1.09285452e-06
1549.0018,1.09149164e-06
1549.0019,1.08901349e-06
1549.002,1.09050029e-06
1549.0021,1.09235884e-06
1549.0022,1.08653535e-06
1549.0023,1.08777431e-06
1549.0024,1.08963286e-06
1549.0025,1.08789823e-06
1549.0026,1.08740255e-06
1549.0027,1.08752647e-06
1549.0028,1.08888958e-06
1549.0029,1.09025245e-06
1549.003,1.08963286e-06
1549.0031,1.09062421e-06
1549.0032,1.09012853e-06
1549.0033,1.08975678e-06
1549.0034,1.08975678e-06
1549.0035,1.08864174e-06
1549.0036,1.08876566e-06
1549.0037,1.09074813e-06
1549.0038,1.08641143e-06
1549.0039,1.08938502e-06
1549.004,1.08517224e-06
1549.0041,1.08901349e-06
1549.0042,1.08653535e-06
1549.0043,1.08901349e-06
1549.0044,1.08938502e-06
1549.0045,1.08926133e-06
1549.0046,1.08963286e-06
1549.0047,1.09173925e-06
1549.0048,1.09037637e-06
1549.0049,1.08913741e-06
1549.005,1.08765039e-06
1549.0051,1.09012853e-06
1549.0052,1.08765039e-06
1549.0053,1.08678319e-06
1549.0054,1.08851782e-06
1549.0055,1.08851782e-06
1549.0056,1.08876566e-06
1549.0057,1.08950894e-06
1549.0058,1.08802215e-06
1549.0059,1.08864174e-06
1549.006,1.08913741e-06
1549.0061,1.08864174e-06
1549.0062,1.08876566e-06
1549.0063,1.09111988e-06
1549.0064,1.08901349e-06
1549.0065,1.08926133e-06
1549.0066,1.08814606e-06
1549.0067,1.08752647e-06
1549.0068,1.08665927e-06
1549.0069,1.09025245e-06
1549.007,1.09062421e-06
1549.0071,1.08938502e-06
1549.0072,1.08938502e-06
1549.0073,1.08963286e-06
1549.0074,1.08442896e-06
1549.0075,1.08765039e-06
1549.0076,1.08765039e-06
1549.0077,1.0883939e-06
1549.0078,1.08864174e-06
1549.0079,1.08876566e-06
1549.008,1.08888958e-06
1549.0081,1.09000462e-06
1549.0082,1.08901349e-06
1549.0083,1.08765039e-06
1549.0084,1.08777431e-06
1549.0085,1.08789823e-06
1549.0086,1.0883939e-06
1549.0087,1.08851782e-06
1549.0088,1.09000462e-06
1549.0089,1.08814606e-06
1549.009,1.08814606e-06
1549.0091,1.08963286e-06
1549.0092,1.08876566e-06
1549.0093,1.08826998e-06
1549.0094,1.08789823e-06
1549.0095,1.08777431e-06
1549.0096,1.08579184e-06
1549.0097,1.08504832e-06
1549.0098,1.08628751e-06
1549.0099,1.08641143e-06
1549.01,1.0883939e-06
1549.0101,1.08864174e-06
1549.0102,1.08740255e-06
1549.0103,1.0869071e-06
1549.0104,1.08851782e-06
1549.0105,1.08665927e-06
1549.0106,1.08888958e-06
1549.0107,1.08901349e-06
1549.0108,1.08628751e-06
1549.0109,1.08963286e-06
1549.011,1.08802215e-06
1549.0111,1.08665927e-06
1549.0112,1.09000462e-06
1549.0113,1.08950894e-06
1549.0114,1.08765039e-06
1549.0115,1.08938502e-06
1549.0116,1.09012853e-06
1549.0117,1.08641143e-06
1549.0118,1.08678319e-06
1549.0119,1.09012853e-06
1549.012,1.09037637e-06
1549.0121,1.08480049e-06
1549.0122,1.08727863e-06
1549.0123,1.08938502e-06
1549.0124,1.09025245e-06
1549.0125,1.08888958e-06
1549.0126,1.08517224e-06
1549.0127,1.08826998e-06
1549.0128,1.08826998e-06
1549.0129,1.085544e-06
1549.013,1.08814606e-06
1549.0131,1.08591576e-06
1549.0132,1.08480049e-06
1549.0133,1.08802215e-06
1549.0134,1.08876566e-06
1549.0135,1.08715471e-06
1549.0136,1.08678319e-06
1549.0137,1.08480049e-06
1549.0138,1.08789823e-06
1549.0139,1.0883939e-06
1549.014,1.08876566e-06
1549.0141,1.08765039e-06
1549.0142,1.08864174e-06
1549.0143,1.08864174e-06
1549.0144,1.09012853e-06
1549.0145,1.08851782e-06
1549.0146,1.09087205e-06
1549.0147,1.08938502e-06
1549.0148,1.08926133e-06
1549.0149,1.09037637e-06
1549.015,1.09012853e-06
1549.0151,1.09173925e-06
1549.0152,1.08653535e-06
1549.0153,1.09037637e-06
1549.0154,1.08517224e-06
1549.0155,1.08963286e-06
1549.0156,1.08727863e-06
1549.0157,1.0898807e-06
1549.0158,1.08975678e-06
1549.0159,1.08913741e-06
1549.016,1.08963286e-06
1549.0161,1.09050029e-06
1549.0162,1.08678319e-06
1549.0163,1.085544e-06
1549.0164,1.08393328e-06
1549.0165,1.08876566e-06
1549.0166,1.08851782e-06
1549.0167,1.09149164e-06
1549.0168,1.08963286e-06
1549.0169,1.09136772e-06
1549.017,1.0869071e-06
1549.0171,1.0898807e-06
1549.0172,1.08752647e-06
1549.0173,1.08678319e-06
1549.0174,1.09136772e-06
1549.0175,1.09012853e-06
1549.0176,1.09000462e-06
1549.0177,1.08975678e-06
1549.0178,1.09062421e-06
1549.0179,1.09074813e-06
1549.018,1.09000462e-06
