Wavelength (nm),Power (W)
1546.5,2.016081e-06
1546.505,2.01261173e-06
1546.51,2.01162038e-06
1546.515,2.01397461e-06
1546.52,2.00877071e-06
1546.525,2.00183194e-06
1546.53,2.00889463e-06
1546.535,1.99291048e-06
1546.54,2.00406225e-06
1546.545,1.993654e-06
1546.55,1.99526471e-06
1546.555,1.99724741e-06
1546.56,1.99538863e-06
1546.565,1.99724741e-06
1546.57,1.98733483e-06
1546.575,1.99898204e-06
1546.58,1.98324597e-06
1546.585,1.99687565e-06
1546.59,1.99452143e-06
1546.595,1.98820226e-06
1546.6,1.99377791e-06
1546.605,1.99030865e-06
1546.61,1.99724741e-06
1546.615,1.99761894e-06
1546.62,1.99452143e-06
1546.625,1.99476926e-06
1546.63,2.00604472e-06
1546.635,1.98844987e-06
1546.64,1.99811461e-06
1546.645,2.02822389e-06
1546.65,1.95028679e-06
1546.655,2.01335524e-06
1546.66,2.00046884e-06
1546.665,1.98535236e-06
1546.67,1.98696307e-06
1546.675,1.98299813e-06
1546.68,1.99786678e-06
1546.685,1.97407689e-06
1546.69,1.99637998e-06
1546.695,1.96862493e-06
1546.7,1.99055648e-06
1546.705,1.96478391e-06
1546.71,1.97581153e-06
1546.715,1.97915688e-06
1546.72,1.96304904e-06
1546.725,1.97023564e-06
1546.73,1.9634208e-06
1546.735,1.96651854e-06
1546.74,1.94979111e-06
1546.745,1.96713813e-06
1546.75,1.94062204e-06
1546.755,1.93244432e-06
1546.76,1.9338072e-06
1546.765,1.92984226e-06
1546.77,1.9150973e-06
1546.775,1.91906247e-06
1546.78,1.91212371e-06
1546.785,1.90853029e-06
1546.79,1.90592823e-06
1546.795,1.89824618e-06
1546.8,1.89948514e-06
1546.805,1.90183937e-06
1546.81,1.88783793e-06
1546.815,1.88027957e-06
1546.82,1.89824618e-06
1546.825,1.88201443e-06
1546.83,1.88523586e-06
1546.835,1.87928845e-06
1546.84,1.88573154e-06
1546.845,1.86826082e-06
1546.85,1.86838474e-06
1546.855,1.87296928e-06
1546.86,1.86095031e-06
1546.865,1.86330453e-06
1546.87,1.85562226e-06
1546.875,1.85648969e-06
1546.88,1.84186865e-06
1546.885,1.83703628e-06
1546.89,1.83728412e-06
1546.895,1.83108887e-06
1546.9,1.81968949e-06
1546.905,1.81733526e-06
1546.91,1.80965299e-06
1546.915,1.80729876e-06
1546.92,1.79143876e-06
1546.925,1.80135135e-06
1546.93,1.77446373e-06
1546.935,1.78313712e-06
1546.94,1.76715321e-06
1546.945,1.76009053e-06
1546.95,1.76715321e-06
1546.955,1.74497382e-06
1546.96,1.74398269e-06
1546.965,1.73196372e-06
1546.97,1.73791113e-06
1546.975,1.71201486e-06
1546.98,1.71672332e-06
1546.985,1.7022262e-06
1546.99,1.70730641e-06
1546.995,1.68859651e-06
1547.0,1.70036765e-06
1547.005,1.65811548e-06
1547.01,1.65600909e-06
1547.015,1.65477013e-06
1547.02,1.63878622e-06
1547.025,1.64200765e-06
1547.03,1.63011259e-06
1547.035,1.6280062e-06
1547.04,1.61982848e-06
1547.045,1.61214621e-06
1547.05,1.61053549e-06
1547.055,1.60322497e-06
1547.06,1.59764909e-06
1547.065,1.58934745e-06
1547.07,1.57794807e-06
1547.075,1.58290436e-06
1547.08,1.5659291e-06
1547.085,1.57286786e-06
1547.09,1.54833447e-06
1547.095,1.54932559e-06
1547.1,1.54536065e-06
1547.105,1.52912889e-06
1547.11,1.53272231e-06
1547.115,1.51376457e-06
1547.12,1.51909262e-06
1547.125,1.50335632e-06
1547.13,1.50769324e-06
1547.135,1.49047014e-06
1547.14,1.49158541e-06
1547.145,1.47684045e-06
1547.15,1.48266395e-06
1547.155,1.45850231e-06
1547.16,1.45738704e-06
1547.165,1.43434045e-06
1547.17,1.42591489e-06
1547.175,1.4107984e-06
1547.18,1.38527366e-06
1547.185,1.40893962e-06
1547.19,1.34723427e-06
1547.195,1.35888149e-06
1547.2,1.33967615e-06
1547.205,1.33756976e-06
1547.21,1.30584954e-06
1547.215,1.30807985e-06
1547.22,1.28565284e-06
1547.225,1.28280294e-06
1547.23,1.26235841e-06
1547.235,1.27313842e-06
1547.24,1.2377011e-06
1547.245,1.23175369e-06
1547.25,1.22233678e-06
1547.255,1.20969821e-06
1547.26,1.20771574e-06
1547.265,1.17649142e-06
1547.27,1.18330627e-06
1547.275,1.13684132e-06
1547.28,1.15332091e-06
1547.285,1.09582834e-06
1547.29,1.10090832e-06
1547.295,1.07191431e-06
1547.3,1.07017968e-06
1547.305,1.05085019e-06
1547.31,1.05939989e-06
1547.315,1.01466958e-06
1547.32,1.0256972e-06
1547.325,9.58168357e-07
1547.33,9.6832855e-07
1547.335,9.69443818e-07
1547.34,9.30785006e-07
1547.345,9.34254388e-07
1547.35,9.08234085e-07
1547.355,9.01914802e-07
1547.36,8.74531509e-07
1547.365,8.73416354e-07
1547.37,8.37111713e-07
1547.375,8.42687598e-07
1547.38,8.05639559e-07
1547.385,8.13941313e-07
1547.39,7.60041928e-07
1547.395,7.68715438e-07
1547.4,7.53474922e-07
1547.405,7.29561009e-07
1547.41,7.26958945e-07
1547.415,7.01805959e-07
1547.42,7.00814724e-07
1547.425,6.76281218e-07
1547.43,6.80246274e-07
1547.435,6.3130318e-07
1547.44,6.53358541e-07
1547.445,5.87812053e-07
1547.45,5.99831026e-07
1547.455,5.65508969e-07
1547.46,5.7529752e-07
1547.465,5.38001757e-07
1547.47,5.3056732e-07
1547.475,5.15326803e-07
1547.48,5.00581962e-07
1547.485,5.00334124e-07
1547.49,4.76420212e-07
1547.495,4.79146195e-07
1547.5,4.55232282e-07
1547.505,4.59692899e-07
1547.51,4.38950622e-07
1547.515,4.27090129e-07
1547.52,4.32683294e-07
1547.525,4.14892554e-07
1547.53,4.19424509e-07
1547.535,4.02632566e-07
1547.54,4.09973552e-07
1547.545,3.95903271e-07
1547.55,3.9093436e-07
1547.555,3.89785782e-07
1547.56,3.88786987e-07
1547.565,3.86277577e-07
1547.57,3.85491035e-07
1547.575,3.84691987e-07
1547.58,3.85203862e-07
1547.585,3.84329951e-07
1547.59,3.86851866e-07
1547.595,3.85491035e-07
1547.6,3.91808271e-07
1547.605,3.87700823e-07
1547.61,4.00048236e-07
1547.615,4.11733936e-07
1547.62,4.08200719e-07
1547.625,4.1388131e-07
1547.63,4.26640668e-07
1547.635,4.34168953e-07
1547.64,4.37539882e-07
1547.645,4.54968529e-07
1547.65,4.55767577e-07
1547.655,4.70474561e-07
1547.66,4.7665452e-07
1547.665,4.91498838e-07
1547.67,4.923603e-07
1547.675,5.11911367e-07
1547.68,5.13322163e-07
1547.685,5.3256116e-07
1547.69,5.20563333e-07
1547.695,5.68482676e-07
1547.7,6.20275557e-07
1547.705,5.94131336e-07
1547.71,6.00450505e-07
1547.715,6.44932982e-07
1547.72,6.42950397e-07
1547.725,6.62527611e-07
1547.73,6.67483903e-07
1547.735,6.9251297e-07
1547.74,6.97097505e-07
1547.745,7.16303077e-07
1547.75,7.22126572e-07
1547.755,7.52359767e-07
1547.76,7.53103279e-07
1547.765,7.90027286e-07
1547.77,7.8135389e-07
1547.775,8.21127799e-07
1547.78,8.04276567e-07
1547.785,8.63256048e-07
1547.79,8.61397382e-07
1547.795,8.84567896e-07
1547.8,8.88656871e-07
1547.805,9.07490573e-07
1547.81,9.31032844e-07
1547.815,9.30661088e-07
1547.82,9.71674126e-07
1547.825,9.69443818e-07
1547.83,1.00054422e-06
1547.835,9.99553095e-07
1547.84,1.03090133e-06
1547.845,1.02953845e-06
1547.85,1.05642607e-06
1547.855,1.05196546e-06
1547.86,1.08826998e-06
1547.865,1.06547122e-06
1547.87,1.14526688e-06
1547.875,1.1395673e-06
1547.88,1.14774502e-06
1547.885,1.18739513e-06
1547.89,1.19197966e-06
1547.895,1.21539802e-06
1547.9,1.22518645e-06
1547.905,1.23720542e-06
1547.91,1.24872872e-06
1547.915,1.27028852e-06
1547.92,1.27103181e-06
1547.925,1.29296336e-06
1547.93,1.29370687e-06
1547.935,1.32195737e-06
1547.94,1.31539036e-06
1547.945,1.35318191e-06
1547.95,1.35541222e-06
1547.955,1.36420954e-06
1547.96,1.37077654e-06
1547.965,1.37585675e-06
1547.97,1.39716872e-06
1547.975,1.40497468e-06
1547.98,1.4157547e-06
1547.985,1.42356066e-06
1547.99,1.43768602e-06
1547.995,1.44041201e-06
1548.0,1.45168747e-06
1548.005,1.45317426e-06
1548.01,1.46952993e-06
1548.015,1.4692821e-06
1548.02,1.49877178e-06
1548.025,1.49059406e-06
1548.03,1.50979963e-06
1548.035,1.50843653e-06
1548.04,1.50856044e-06
1548.045,1.53383735e-06
1548.05,1.52689859e-06
1548.055,1.56568126e-06
1548.06,1.56369879e-06
1548.065,1.58476291e-06
1548.07,1.58885177e-06
1548.075,1.60372065e-06
1548.08,1.60917239e-06
1548.085,1.62168703e-06
1548.09,1.62441302e-06
1548.095,1.6386623e-06
1548.1,1.63779487e-06
1548.105,1.66567384e-06
1548.11,1.6619565e-06
