Wavelength (nm),Power (W)
1540.0,2.7886374e-06
1540.001,2.79012443e-06
1540.002,2.79074379e-06
1540.003,2.78838957e-06
1540.004,2.7834335e-06
1540.005,2.79371761e-06
1540.006,2.78194648e-06
1540.007,2.7805836e-06
1540.008,2.79396545e-06
1540.009,2.7843007e-06
1540.01,2.78876132e-06
1540.011,2.78293783e-06
1540.012,2.78615926e-06
1540.013,2.78578773e-06
1540.014,2.78566381e-06
1540.015,2.77922049e-06
1540.016,2.78417679e-06
1540.017,2.77847721e-06
1540.018,2.78752236e-06
1540.019,2.77884897e-06
1540.02,2.7843007e-06
1540.021,2.7748838e-06
1540.022,2.77612298e-06
1540.023,2.77922049e-06
1540.024,2.77537947e-06
1540.025,2.77723802e-06
1540.026,2.77884897e-06
1540.027,2.77525555e-06
1540.028,2.77661866e-06
1540.029,2.77537947e-06
1540.03,2.77129061e-06
1540.031,2.78454854e-06
1540.032,2.7719102e-06
1540.033,2.77562731e-06
1540.034,2.76893638e-06
1540.035,2.78244215e-06
1540.036,2.76311266e-06
1540.037,2.76385617e-06
1540.038,2.75976731e-06
1540.039,2.77079494e-06
1540.04,2.7518372e-06
1540.041,2.75307639e-06
1540.042,2.77364484e-06
1540.043,2.75654565e-06
1540.044,2.76819287e-06
1540.045,2.7546871e-06
1540.046,2.77612298e-06
1540.047,2.77475988e-06
1540.048,2.74613762e-06
1540.049,2.7624933e-06
1540.05,2.73758815e-06
1540.051,2.75245679e-06
1540.052,2.77426443e-06
1540.053,2.73201226e-06
1540.054,2.76001515e-06
1540.055,2.7403139e-06
1540.056,2.74477452e-06
1540.057,2.75010257e-06
1540.058,2.74960689e-06
1540.059,2.72333887e-06
1540.06,2.7403139e-06
1540.061,2.76596256e-06
1540.062,2.74043782e-06
1540.063,2.72668422e-06
1540.064,2.73746423e-06
1540.065,2.73795968e-06
1540.066,2.73238402e-06
1540.067,2.7307733e-06
1540.068,2.73188834e-06
1540.069,2.74192485e-06
1540.07,2.72197576e-06
1540.071,2.72432999e-06
1540.072,2.73511e-06
1540.073,2.7213564e-06
1540.074,2.72470174e-06
1540.075,2.72767556e-06
1540.076,2.72779948e-06
1540.077,2.72321495e-06
1540.078,2.72631246e-06
1540.079,2.72160423e-06
1540.08,2.72866669e-06
1540.081,2.7164001e-06
1540.082,2.71912609e-06
1540.083,2.71664794e-06
1540.084,2.72408215e-06
1540.085,2.71565659e-06
1540.086,2.72197576e-06
1540.087,2.71590443e-06
1540.088,2.72148031e-06
1540.089,2.71441763e-06
1540.09,2.71379804e-06
1540.091,2.71144381e-06
1540.092,2.72717989e-06
1540.093,2.72061288e-06
1540.094,2.70338978e-06
1540.095,2.71986937e-06
1540.096,2.71119598e-06
1540.097,2.71131989e-06
1540.098,2.71144381e-06
1540.099,2.72172792e-06
1540.1,2.70797432e-06
1540.101,2.71478939e-06
1540.102,2.70723103e-06
1540.103,2.72011721e-06
1540.104,2.70723103e-06
1540.105,2.71181557e-06
1540.106,2.71268277e-06
1540.107,2.71280669e-06
1540.108,2.71342628e-06
1540.109,2.71045246e-06
1540.11,2.70871783e-06
1540.111,2.71578051e-06
1540.112,2.72371062e-06
1540.113,2.70128339e-06
1540.114,2.72284319e-06
1540.115,2.71293061e-06
1540.116,2.71763906e-06
1540.117,2.71280669e-06
1540.118,2.71590443e-06
1540.119,2.71169165e-06
1540.12,2.71305453e-06
1540.121,2.71280669e-06
1540.122,2.71937392e-06
1540.123,2.71131989e-06
1540.124,2.7279234e-06
1540.125,2.71838258e-06
1540.126,2.71478939e-06
1540.127,2.7222236e-06
1540.128,2.72383454e-06
1540.129,2.71441763e-06
1540.13,2.71801082e-06
1540.131,2.72717989e-06
1540.132,2.71801082e-06
1540.133,2.72432999e-06
1540.134,2.71739123e-06
1540.135,2.73833143e-06
1540.136,2.72185184e-06
1540.137,2.72755165e-06
1540.138,2.72817124e-06
1540.139,2.73102091e-06
1540.14,2.73362298e-06
1540.141,2.73102091e-06
1540.142,2.73287969e-06
1540.143,2.73114483e-06
1540.144,2.73250794e-06
1540.145,2.72556917e-06
1540.146,2.74353556e-06
1540.147,2.73027763e-06
1540.148,2.75109392e-06
1540.149,2.74415515e-06
1540.15,2.74737658e-06
1540.151,2.74266813e-06
1540.152,2.75877596e-06
1540.153,2.74650938e-06
1540.154,2.74514628e-06
1540.155,2.75419143e-06
1540.156,2.74799618e-06
1540.157,2.75084608e-06
1540.158,2.76125411e-06
1540.159,2.74365948e-06
1540.16,2.75245679e-06
1540.161,2.75605021e-06
1540.162,2.76274113e-06
1540.163,2.74849185e-06
1540.164,2.76992773e-06
1540.165,2.75939556e-06
1540.166,2.74787226e-06
1540.167,2.77005142e-06
1540.168,2.75456318e-06
1540.169,2.77314916e-06
1540.17,2.76435185e-06
1540.171,2.76001515e-06
1540.172,2.7633605e-06
1540.173,2.77104277e-06
1540.174,2.7647236e-06
1540.175,2.76682999e-06
1540.176,2.77005142e-06
1540.177,2.77414051e-06
1540.178,2.76930814e-06
1540.179,2.77699019e-06
1540.18,2.77475988e-06
1540.181,2.77723802e-06
1540.182,2.77153845e-06
1540.183,2.77079494e-06
1540.184,2.78417679e-06
1540.185,2.77352092e-06
1540.186,2.78219431e-06
1540.187,2.78417679e-06
1540.188,2.7790968e-06
1540.189,2.77550339e-06
1540.19,2.78318566e-06
1540.191,2.77971617e-06
1540.192,2.78653101e-06
1540.193,2.78132711e-06
1540.194,2.78938091e-06
1540.195,2.78566381e-06
1540.196,2.7877702e-06
1540.197,2.79285041e-06
1540.198,2.78405287e-06
1540.199,2.7820704e-06
1540.2,2.8073473e-06
1540.201,2.7992935e-06
1540.202,2.76980381e-06
1540.203,2.80090421e-06
1540.204,2.79557617e-06
1540.205,2.79334586e-06
1540.206,2.78591165e-06
1540.207,2.78962875e-06
1540.208,2.80078029e-06
