Wavelength (nm),Power (W)
1549.0,2.59263011e-08
1549.0001,2.64885749e-08
1549.0002,2.80767551e-08
1549.0003,2.96550731e-08
1549.0004,2.61149609e-08
1549.0005,2.90200468e-08
1549.0006,2.99177145e-08
1549.0007,2.99855323e-08
1549.0008,3.00545828e-08
1549.0009,2.9824001e-08
1549.001,2.9815368e-08
1549.0011,2.99275769e-08
1549.0012,2.97783771e-08
1549.0013,2.98498968e-08
1549.0014,2.98548279e-08
1549.0015,2.99793648e-08
1549.0016,3.01532275e-08
1549.0017,3.01088363e-08
1549.0018,3.01260989e-08
1549.0019,3.01236334e-08
1549.002,2.99608693e-08
1549.0021,2.99238785e-08
1549.0022,3.02481737e-08
1549.0023,2.98720906e-08
1549.0024,2.99658041e-08
1549.0025,3.02185796e-08
1549.0026,3.02111829e-08
1549.0027,3.00521172e-08
1549.0028,3.00767766e-08
1549.0029,3.00669143e-08
1549.003,2.9748783e-08
1549.0031,2.99300424e-08
1549.0032,2.99645713e-08
1549.0033,3.01334993e-08
1549.0034,3.0059514e-08
1549.0035,3.0261738e-08
1549.0036,2.97709803e-08
1549.0037,3.00940393e-08
1549.0038,3.01581586e-08
1549.0039,2.99226457e-08
1549.004,3.01667917e-08
1549.0041,3.01704901e-08
1549.0042,3.02457082e-08
1549.0043,2.99670369e-08
1549.0044,3.00336218e-08
1549.0045,3.01704901e-08
1549.0046,2.9971968e-08
1549.0047,2.98350997e-08
1549.0048,2.99066159e-08
1549.0049,3.00447169e-08
1549.005,2.99251113e-08
1549.0051,2.98449621e-08
1549.0052,3.00360874e-08
1549.0053,2.99485414e-08
1549.0054,2.9884422e-08
1549.0055,2.99140126e-08
1549.0056,2.99633349e-08
1549.0057,2.98498968e-08
1549.0058,2.99744336e-08
1549.0059,2.98461948e-08
1549.006,2.99411411e-08
1549.0061,3.00015621e-08
1549.0062,2.97339859e-08
1549.0063,2.97450846e-08
1549.0064,2.976358e-08
1549.0065,2.97376879e-08
1549.0066,2.97956397e-08
1549.0067,2.96871328e-08
1549.0068,2.97549505e-08
1549.0069,2.96131475e-08
1549.007,2.97019298e-08
1549.0071,2.98634575e-08
1549.0072,2.98116696e-08
1549.0073,2.98005745e-08
1549.0074,2.98055056e-08
1549.0075,2.97907086e-08
1549.0076,2.97093266e-08
1549.0077,2.97759115e-08
1549.0078,2.96772669e-08
1549.0079,2.95995832e-08
1549.008,2.96415088e-08
1549.0081,2.96748013e-08
1549.0082,2.96353413e-08
1549.0083,2.96341085e-08
1549.0084,2.96982279e-08
1549.0085,2.95773894e-08
1549.0086,2.97401535e-08
1549.0087,2.96834308e-08
1549.0088,2.95416314e-08
1549.0089,2.96575386e-08
1549.009,2.95897209e-08
1549.0091,2.95847862e-08
1549.0092,2.9537933e-08
1549.0093,2.95539593e-08
1549.0094,2.95971176e-08
1549.0095,2.94997058e-08
1549.0096,2.96267118e-08
1549.0097,2.97315204e-08
1549.0098,2.96193114e-08
1549.0099,2.95995832e-08
1549.01,2.94787448e-08
1549.0101,2.97759115e-08
1549.0102,2.95958849e-08
1549.0103,2.94466851e-08
1549.0104,2.96353413e-08
1549.0105,2.94503835e-08
1549.0106,2.94503835e-08
1549.0107,2.97611145e-08
1549.0108,2.96859e-08
1549.0109,2.9492309e-08
1549.011,2.96895983e-08
1549.0111,2.98227683e-08
1549.0112,2.94972402e-08
1549.0113,2.92641928e-08
1549.0114,2.93813329e-08
1549.0115,2.97722131e-08
1549.0116,2.94121598e-08
1549.0117,2.94812104e-08
1549.0118,2.96575386e-08
1549.0119,2.9565058e-08
1549.012,2.94947746e-08
1549.0121,2.95280671e-08
1549.0122,2.96538403e-08
1549.0123,2.95884881e-08
1549.0124,2.97475502e-08
1549.0125,2.93677687e-08
1549.0126,2.91729449e-08
1549.0127,2.91051272e-08
1549.0128,2.91100584e-08
1549.0129,2.99879979e-08
1549.013,3.01692573e-08
1549.0131,3.00064933e-08
1549.0132,2.92974853e-08
1549.0133,2.83418657e-08
1549.0134,3.12629815e-08
1549.0135,3.12913429e-08
1549.0136,3.01051379e-08
1549.0137,2.87697368e-08
1549.0138,2.95761566e-08
1549.0139,2.96735685e-08
1549.014,2.95317655e-08
1549.0141,2.95884881e-08
1549.0142,2.93998283e-08
1549.0143,2.94639477e-08
1549.0144,2.96982279e-08
1549.0145,2.96883655e-08
1549.0146,2.96600042e-08
1549.0147,2.94479179e-08
1549.0148,2.93948972e-08
1549.0149,2.96513711e-08
1549.015,2.94590166e-08
1549.0151,2.94836759e-08
1549.0152,2.96624698e-08
1549.0153,2.95835534e-08
1549.0154,2.97993381e-08
1549.0155,2.97685148e-08
1549.0156,2.93764018e-08
1549.0157,2.95514937e-08
1549.0158,2.9586019e-08
1549.0159,2.96526075e-08
1549.016,2.97006935e-08
1549.0161,2.9625479e-08
1549.0162,2.94799776e-08
1549.0163,2.96328757e-08
1549.0164,2.96760341e-08
1549.0165,2.95108045e-08
1549.0166,2.95995832e-08
1549.0167,2.96341085e-08
1549.0168,2.95058733e-08
1549.0169,2.9498473e-08
1549.017,2.9682198e-08
