Wavelength (nm),Power (W)
1545.0,2.10901089e-06
1545.005,2.10863914e-06
1545.01,2.11545398e-06
1545.015,2.12350801e-06
1545.02,2.11718861e-06
1545.025,2.12462305e-06
1545.03,2.12883583e-06
1545.035,2.13032286e-06
1545.04,2.15051955e-06
1545.045,2.1458111e-06
1545.05,2.12338409e-06
1545.055,2.14779357e-06
1545.06,2.15559976e-06
1545.065,2.13478347e-06
1545.07,2.1451915e-06
1545.075,2.148661e-06
1545.08,2.14420038e-06
1545.085,2.12883583e-06
1545.09,2.14903275e-06
1545.095,2.13788098e-06
1545.1,2.13094222e-06
1545.105,2.12078203e-06
1545.11,2.13205749e-06
1545.115,2.1184278e-06
1545.12,2.12437521e-06
1545.125,2.10740018e-06
1545.13,2.12301234e-06
1545.135,2.11210863e-06
1545.14,2.09959398e-06
1545.145,2.09736368e-06
1545.15,2.11062161e-06
1545.155,2.08125584e-06
1545.16,2.09823111e-06
1545.165,2.07406924e-06
1545.17,2.09054883e-06
1545.175,2.07493667e-06
1545.18,2.08992924e-06
1545.185,2.07753874e-06
1545.19,2.08670781e-06
1545.195,2.08137976e-06
1545.2,2.08844244e-06
1545.205,2.08869028e-06
1545.21,2.09823111e-06
1545.215,2.08373399e-06
1545.22,2.10888697e-06
1545.225,2.09723976e-06
1545.23,2.11371935e-06
1545.235,2.11285192e-06
1545.24,2.11024985e-06
1545.245,2.12350801e-06
1545.25,2.11892348e-06
1545.255,2.13131398e-06
1545.26,2.11495831e-06
1545.265,2.14940428e-06
1545.27,2.13602243e-06
1545.275,2.15510408e-06
1545.28,2.14494366e-06
1545.285,2.16117542e-06
1545.29,2.155228e-06
1545.295,2.16588387e-06
1545.3,2.15460841e-06
1545.305,2.1580779e-06
1545.31,2.1667513e-06
1545.315,2.15473233e-06
1545.32,2.1580779e-06
1545.325,2.15324553e-06
1545.33,2.15448449e-06
1545.335,2.15820182e-06
1545.34,2.15361729e-06
1545.345,2.14667853e-06
1545.35,2.15783007e-06
1545.355,2.14630677e-06
1545.36,2.14543934e-06
1545.365,2.14159832e-06
1545.37,2.14729789e-06
1545.375,2.12437521e-06
1545.38,2.14878492e-06
1545.385,2.13515523e-06
1545.39,2.12834038e-06
1545.395,2.12164923e-06
1545.4,2.13230533e-06
1545.405,2.13019894e-06
1545.41,2.11396718e-06
1545.415,2.132801e-06
1545.42,2.11248016e-06
1545.425,2.13354429e-06
1545.43,2.11768429e-06
1545.435,2.12672944e-06
1545.44,2.11979068e-06
1545.445,2.13057069e-06
1545.45,2.13094222e-06
1545.455,2.13651811e-06
1545.46,2.1523781e-06
1545.465,2.14469583e-06
1545.47,2.15138698e-06
